epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5446860194206238,0.6899604797363281,0.001,0.4937421679496765,0.6951866149902344
1,0.5555555820465088,0.6860133409500122,0.001,0.4937421679496765,0.6946484446525574
2,0.5587142109870911,0.6829723119735718,0.001,0.49687108397483826,0.6911337971687317
3,0.5682831406593323,0.6796490550041199,0.001,0.5272215008735657,0.6871855854988098
